id,category,n_runs,n_bypass,n_partial,n_blocked,asr,partial_rate
B1a,B1,30,0,0,30,0%,0%
B1b,B1,30,0,0,30,0%,0%
B1c,B1,30,30,0,0,100%,0%
B1d,B1,30,0,0,30,0%,0%
B2a,B2,30,30,0,0,100%,0%
B2b,B2,30,30,0,0,100%,0%
B2c,B2,30,30,0,0,100%,0%
B2d,B2,30,30,0,0,100%,0%
B3a,B3,30,0,0,30,0%,0%
B3b,B3,30,0,30,0,0%,100%
B3c,B3,30,0,30,0,0%,100%
B3d,B3,30,30,0,0,100%,0%
B4a,B4,30,0,0,30,0%,0%
B4b,B4,30,0,0,30,0%,0%
B4c,B4,30,30,0,0,100%,0%
B4d,B4,30,30,0,0,100%,0%
B5a,B5,30,30,0,0,100%,0%
B5b,B5,30,0,30,0,0%,100%
B5c,B5,30,30,0,0,100%,0%
